Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
CAS AH 589,Topics in Nineteenth Century Art,,"Prerequisites: junior or senior standing (or graduate student). - Topic for Fall 2025: The Age of Impressionism. European art, 1848-1900, is examined in light of contemporary developments in politics, literature, and the history of ideas. Class discussion of readings, both recent and classic, is followed by an oral report and a final paper on a research topic.",,,,,,,,,,,,,,,,,,,
CAS AH 591,Seminar in Photographic History,"junior or senior standing, or consent of instructor.","Topic for Spring 2024: ""Documentary Photography."" A study of changing uses, definitions, and archives of documentary photography from 1839 to the present. Topics include urban photography, war imagery, topographical and survey landscapes, architectural records, social reform photography, New Deal imagery, and digital documents.",,,,,,,,,,,,,,,,,,,
CAS AH 596,Seminar: Contemporary Art,"junior or senior standing, or consent of instructor.","Rotating topics in art, criticism and theory since 1960. Examines major themes such as formalism, minimalism, conceptual art, the neo-avant-garde, art and politics, postmodernism and globalization in their social and political contexts. Topic for Fall 2025: Contemporary Exhibition Practices. This seminar explores how, over the past forty years, artists, curators, critics, and architects have played various roles in the expansion of large-scale exhibitions and the emergence of new museums of contemporary art around the world.",,,,,,,,,,,,,,,,,,,
CAS AN 101,Introduction to Sociocultural Anthropology,,"Introduction to the basic concepts, principles, and problems of sociocultural anthropology, emphasizing the study of traditional and complex societies. Special attention to the organization and meaning of religion, economic life, kinship and political order; and the problem of cultural variation in the contemporary world. Carries social science divisional credit in CAS.",,,,X,,,,,,,X,,,,,,X,,
CAS AN 102,"Human Biology, Behavior, and Evolution",,"Introduces basic principles of evolutionary biology, human origins, genetics, reproduction, socio-ecology, and the evolution of primate and human behavior and adaptions. Section activities include examination of fossil and skeletal material, and hands-on projects involving human and primate behavior and biology. Carries natural science divisional credit (with lab) in CAS.",,,X,,,X,,,,,,,,,,X,,,
CAS AN 103,Anthropology Through Ethnography,,"Examines the diversity of human lifeways and cultures across a variety of societies and through time, as well as the social processes that shape individuals. Seminar-style introduction to cultural anthropology through the reading of ethnography, with discussion and debate. (For anthropology majors, this course can serve as a substitute for AN 101.) Carries social science divisional credit in CAS.",,,,X,,,,,,X,,,,,,X,,,
CAS AN 206,Ancient Technology,,"Introduction to the emergence of culture and the reconstruction of early lifeways from archaeological evidence. Topics include early humans in Africa, Asia, and Europe; Neanderthals; the first Americans; and the prelude to agriculture.",,,X,,,,,,,,,,,,,,,X,
CAS AN 210,Introduction to Medical Anthropology,,"I This lecture and discussion-driven course uses ethnographic case materials and active learning strategies to introduce students to socio-cultural anthropological modes of understanding and analyzing health-related experiences and institutions, including political and ethical dimensions of illness and suffering around the globe.",,,,X,X,,,,,,,X,,,,,X,,
CAS AN 211,Humans Among Animals,,"Examines how humans understand (other) animals and their thought, feeling, and communication and the ways we humans in varied cultures and societies use animals for interaction and self-understanding. Interdisciplinary approach that considers language, aesthetics, ideology, practice, and regulation.",X,,,,,,,,,,,X,,,,X,,,
CAS AN 220,Urban Anthropology,,"An introduction to classic and contemporary definitions of the city and ethnographic approaches to the study of urban life. Examines urban inequalities and the stratification of space by immigration, gender, racialization, and poverty. Participants conduct mini- ethnographic projects in the city of Boston.",,,,X,,,,,,X,,,,,,,X,,
CAS AN 233,The Evolutionary Biology of Human Variation,,"Addresses human biological variation. An introduction to the fundamentals of comparative biology, evolutionary theory, and genetics and considers how research in these fields informs some of our most culturally-engaged identities: race, sex, gender, sexuality, and body type.",,,,,,X,,,,,,X,,,,X,,,
CAS AN 234,Evolutionary Psychology,,"Can evolutionary theory shed light on human psychology and behavior' This introductory course explores the evolution of mind: emotion and expression, learning and cognition, sex and reproduction, parenthood and family, cooperation and coalitions, aggression and warfare, mental health, and more.",,,,X,,X,,,,,,,,,,,,,
CAS AN 235,Introduction to the Primate Senses,,"This course focuses on the major special senses of primates, and how they have evolved in an ecological context. Students study the major sensory systems including vision, hearing, smell, and taste from a morphological, neurological, behavioral, and evolutionary perspective.",,,,,,X,,,,,,,,X,,,,,X
CAS AN 240,Legal Anthropology,,Introduction to legal anthropology that investigates the role of law and legal systems in a variety of historical and contemporary societies from a cross-cultural perspective. It examines how different societies generate and maintain mechanisms to deal with competition and conflict. (Counts towards the Minor in African American & Black Diaspora Studies.),,,,X,,,,,,,,X,,,,,,,
CAS AN 252,Ethnicity and Identity,,"Explores anthropological approaches to community, belonging, and difference using case studies from Asia, Africa, and the Americas. Special attention paid to how contemporary economic and political changes impact the ways people think about and belong to communities. Please visit the MyBU Student Portal for the most up-to-date course information.",X,,,,,,,,,X,,,,,,,,,
CAS AN 260,Sex and Gender in Anthropological Perspective,,"Cross-cultural examination of gender roles, expectations, and practices. Focuses on economic, social, political, and ideological determinants that structure the hierarchy of power and privileges accorded the activities and experiences of women, men, and non-binary people in various societies. The section will not meet, only the lecture will, but please register for it anyways in tandem with the lecture section. If you have any questions, email kenzea@bu.edu",,,,X,,,,,,,X,,,,,,X,,
CAS AN 262,The Evolution of Culture and Society,,"Where do culture and society come from? Are there common patterns that underlie social diversity? This course explores the origins of human societies, from our hunter-gatherer ancestors to the development of contemporary industrial nations.",,,,X,,,,,,,X,,,,,X,,,
CAS AN 263,The Behavioral Biology of Women,,"An exploration of female behavioral biology focusing on evolutionary, physiological, and biosocial aspects of women's lives from puberty through pregnancy, birth, lactation, menopause, and aging. Examples are drawn from traditional and industrialized societies, and data from nonhuman primates are considered. (Counts as an elective in Biology with a Specialization in Behavioral Biology. Counts towards the minor in Women's, Gender, & Sexuality Studies.) (Counts for Natural Science credit; as a Biology - Specialization in Behavioral Biology - elective; and towards the Women's, Gender, & Sexuality Studies minor.) Carries natural science divisional credit in CAS.",,,,X,,X,,,,,,,,,,X,,,
CAS AN 272,Introduction to Evolutionary Medicine,,"Why did natural selection leave us so vulnerable to illness? In this course, we explore how human evolution illuminates our susceptibility to illness and disease. Students apply principles of evolutionary biology to understanding physical and mental health.",,,,,,X,X,,,,,,,,,,,,X
CAS AN 280,Eating and Drinking in the Ancient World,"First Year Writing Seminar (e.g., CASWR 100 or WR 120) or consent of instructor","Survey of the archaeological evidence of the diets of human societies, from earliest humans to the present. Emphasis on the remains of plants, animals, and humans and what they tell us about ancient food and drink within their social contexts.",,,,X,,,,,,,X,,X,,,,,,
CAS AN 283,North American Archaeology,,North American prehistory from initial peopling of continent to development of complex societies. Explores human entry into the New World; migration across North America; subsistence changes; human effects on landscape; encounters with Europeans; role of archaeology in contemporary Native cultures. Please visit the MyBU Student Portal for the most up-to-date course information.,,,,X,,,,,,,X,,,,,,,,
CAS AN 285,Coping with Crisis in Contemporary Africa (area),,"Explores the ways ordinary Africans are coping with problems of security, environmental degradation, forced migration, economic decline, and disease. Readings and lectures contrast outsiders' interpretations of these ""crises"" with the way they are experienced by those they affect. Staff. 4 cr. Either sem.",,,X,X,,,,,,,,,,,,,,,
